Name,Phone,Address,Zip Code
Austin Texas Xeriscapes (Wholesale),512-636-0003,"9502 Chisholm Trail
Austin, TX
(30.171979127000043, -97.81252981999995)",78748
Austin Water Center for Environmental Research*,512-972-1960,"2210 S. FM 973
Austin, TX
(30.216196790000026, -97.63772636399995)",78725
Breed & Co. (West),512-328-3960,"3663 Bee Caves Rd.
West Lake Hills, TX
(30.279009976000054, -97.80654141099996)",78746
City of Austin Development Assistance Center *,512-974-2550,"505 Barton Spring Rd.
Austin, TX
(30.25837376100003, -97.74993326199996)",78704
COA Planning & Development Review - 4th Floor*,512-974-1876,"505 Barton Springs Rd.
Austin, TX
(30.25837376100003, -97.74993326199996)",78704
COA Watershed Protection Department- 11th Floor*,512-974-2550,"505 Barton Springs Rd.
Austin, TX
(30.25837376100003, -97.74993326199996)",78704
Far South Growers (Wholesale),512-291-4648,"1141 Penion
Austin, TX
(30.15681167200006, -97.82375138299994)",78748
Garden-Ville/Creedmoor,512-329-4900,"3606 FM 1327
Austin, TX
(30.112490235000053, -97.80687946799998)",78610
Green 'n Growing (Pflugerville),512-251-3262,"601 W Pecan St.
Pflugerville, TX
(30.434571318000053, -97.76386835099999)",78660
Gus Garcia Community Garden *,512-339-0016,"1201 East Rundberg Lane
Austin, TX
(30.35397627900005, -97.68143586999997)",78753
Home Depot/I-35 Woodward,512-693-9811,"3600 S. IH 35
Austin, TX
(30.267593273000045, -97.74298658099997)",78704
King Ranch Turfgrass (South),512-892-3636,"5910 W. US Hwy 290
Austin, TX
(30.23596764100006, -97.85030622699998)",78735
Backyard Gardens (Spicewood),512-263-5275,"21215 Hwy 71 West
Spicewood, TX
(30.25236916800003, -97.89920473999996)",78669
Lowe's (North),512-918-8777,"13201 RM 620 N. Bldg. G
Austin, TX
(30.377601213000048, -97.94632983099996)",78717
Lowe's (Round Rock),512-600-0011,"120 Sundance Parkway #400
Austin, TX
(30.267593273000045, -97.74298658099997)",78681
Lowe's (Southeast),512-441-0329,"5510 S. IH 35 (Stassney)
Austin, TX
(30.267593273000045, -97.74298658099997)",78745
Lowes (Shoal Creek),512-634-4330,"8000 Shoal Creek Boulevard
Austin, TX
(30.363242929000023, -97.73995911099996)",78757
Milwood Branch Library*,512-339-2355,"12500 Amherst
Austin, TX
(30.42310742600006, -97.71459623599998)",78727
Most Beautiful Plants,512-249-7429,"11211 N RR 620
Round Rock, TX
(30.452006916000073, -97.82896048199996)",78726
Organics by Gosh,512-276-1211,"13602 FM 969
Austin, TX
(30.25053824500003, -97.59075589999998)",78724
Round Rock Gardens (Round Rock),512-255-3353,"901 Sam Bass
Round Rock, TX
(30.16075778100003, -98.00033703499997)",78681
Shoal Creek Gardens,512-458-5909,"2710 Hancock Dr.
Austin, TX
(30.32719609700007, -97.74821751499996)",78731
South Austin Senior Activity Center *,512-448-0787,"3911 Manchaca Road
Austin, TX
(30.23414473100007, -97.78550420199997)",78704
SPLASH! (Zilker Park)*,512-478-3170,"2201 Barton Springs Rd.
Austin, TX
(30.265983430000063, -97.76862557799996)",78746
Ted's Trees,512-928-8733,"1118 Tillery
Austin, TX
(30.267133407000074, -97.70169874499999)",78702
The Natural Gardener (Plant guides only),512-288-6118,"8648 Old Bee Caves Road
Austin, TX
(30.255986233000044, -97.89087000299997)",78735
Vivero Growers Nursery (Plant guides only),713-587-4476,"12000 W. US Hwy 290
Austin, TX
(30.211671779000028, -97.96811090999995)",78737
Wal-Mart (Four Points),512-249-6666,"8201 N. RM 620
Austin, TX
(30.416917368000043, -97.84725267999994)",78726
Zilker Botanical Garden *,512-477-8672,"2220 Barton Springs Rd
Austin, TX
(30.266236932000027, -97.76896204399998)",78746
Barton Springs Nursery,512-328-6655,"3601 Bee Caves Rd.
Austin, TX
(30.278029384000035, -97.80549052999999)",78746
Breed & Co. (Central),512-474-6679,"718 W. 29th St.
Austin, TX
(30.296395604000054, -97.74479869399994)",78705
Brite Ideas (South),512-276-9801,"4201 S. Congress Ave. Ste. 310
Austin, TX
(30.221084769000072, -97.76504428599998)",78745
Brite Ideas (North),512-759-4353,"7010 Burnet Rd. Ste. A
Austin, TX
(30.34719625200006, -97.73643658499998)",78757
Callahan's General Store,512-385-3452,"501 Bastrop Hwy.
Austin, TX
(30.237335400000063, -97.68655430599995)",78741
